Navn;Egendefinert enhet (maks 4 tegn);MVA.;Variant1 navn;Variant1 variant;Variant2 navn;Variant2 variant;Variant3 navn;Variant3 variant;SKU;Pris;Innkjøpspris;Strekkode;På lager;Variant-ID;Produkt-ID;ID (Ikke rediger): [n-un-vat-vo0n-vo0v-vo1n-vo1v-vo2n-vo2v-sku-p-cp-bc-ib-vid-id-k]
Nøisom Blåbær;;25;Prisklasse; Ekstern;;;;;;45;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Bekk Marvelous Mango;;25;Prisklasse; Ekstern;;;;;;35;0;;;;;
;;;Prisklasse; Intern;;;;;;30;0;;;;;
Bekk Spiked Lemon;;25;Prisklasse; Ekstern;;;;;;35;0;;;;;
;;;Prisklasse; Intern;;;;;;30;0;;;;;
Bekk Nordic Raspberry;;25;Prisklasse; Ekstern;;;;;;35;0;;;;;
;;;Prisklasse; Intern;;;;;;30;0;;;;;
Ride Black Cherry;;25;Prisklasse; Ekstern;;;;;;35;0;;;;;
;;;Prisklasse; Intern;;;;;;30;0;;;;;
Geil Riesling Trocken;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;45;0;;;;;
Spy Valley Savingnon Blanc;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Porta 6;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Barbossa Barbera;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Giol Prosecco Spumante;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Pringles Original;;25;Prisklasse; Ekstern;;;;;;15;0;;;;;
;;;Prisklasse; Intern;;;;;;10;0;;;;;
Pringles Sourcream;;25;Prisklasse; Ekstern;;;;;;15;0;;;;;
;;;Prisklasse; Intern;;;;;;10;0;;;;;
Pringles Sweet Paprika;;25;Prisklasse; Ekstern;;;;;;15;0;;;;;
;;;Prisklasse; Intern;;;;;;10;0;;;;;
Polly Chilinøtter;;25;Prisklasse; Ekstern;;;;;;30;0;;;;;
;;;Prisklasse; Intern;;;;;;25;0;;;;;
Stratos;;25;Prisklasse; Ekstern;;;;;;18;0;;;;;
;;;Prisklasse; Intern;;;;;;18;0;;;;;
Kinder;;25;Prisklasse; Ekstern;;;;;;12;0;;;;;
;;;Prisklasse; Intern;;;;;;7;0;;;;;
Aass Uten;;25;Prisklasse; Ekstern;;;;;;20;0;;;;;
;;;Prisklasse; Intern;;;;;;17;0;;;;;
Aass Uten IPA;;25;Prisklasse; Ekstern;;;;;;20;0;;;;;
;;;Prisklasse; Intern;;;;;;17;0;;;;;
Coca Cola;;25;Prisklasse; Ekstern;;;;;;21;0;;;;;
;;;Prisklasse; Intern;;;;;;17;0;;;;;
Coca Cola Zero;;25;Prisklasse; Ekstern;;;;;;21;0;;;;;
;;;Prisklasse; Intern;;;;;;17;0;;;;;
Pepsi Max;;25;Prisklasse; Ekstern;;;;;;25;0;;;;;
;;;Prisklasse; Intern;;;;;;23;0;;;;;
Monster Super Dry;;25;Prisklasse; Ekstern;;;;;;25;0;;;;;
;;;Prisklasse; Intern;;;;;;23;0;;;;;
Monster Ultra;;25;Prisklasse; Ekstern;;;;;;25;0;;;;;
;;;Prisklasse; Intern;;;;;;23;0;;;;;
Ægir Minus;;25;Prisklasse; Ekstern;;;;;;29;0;;;;;
;;;Prisklasse; Intern;;;;;;24;0;;;;;
To Øl Implosion;;25;Prisklasse; Ekstern;;;;;;29;0;;;;;
;;;Prisklasse; Intern;;;;;;27;0;;;;;
Paulaner Alkoholfrei;;25;Prisklasse; Ekstern;;;;;;32;0;;;;;
;;;Prisklasse; Intern;;;;;;29;0;;;;;
